CID,STATE,COUNTY,PBUSH,PGORE,PNADER,POTHER,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE
1,Alabama,Autauga,0.6969,0.2872,0.0093,0.0066,11993,4942,160,43,51,9,5,5,0,0,0,0,0,0,0,0,0
2,Alabama,Baldwin,0.7237,0.2478,0.0183,0.0102,40872,13997,1033,287,226,23,28,14,0,0,0,0,0,0,0,0,0
3,Alabama,Barbour,0.4991,0.4902,0.0044,0.0063,5096,5188,46,27,27,6,3,2,0,0,0,0,0,0,0,0,0
4,Alabama,Bibb,0.6017,0.3816,0.0073,0.0093,4273,2710,52,36,20,9,0,1,0,0,0,0,0,0,0,0,0
5,Alabama,Blount,0.7048,0.2769,0.0086,0.0097,12667,4977,154,104,51,10,5,5,0,0,0,0,0,0,0,0,0
6,Alabama,Bullock,0.2922,0.6923,0.0049,0.0106,1433,3395,24,8,34,5,1,4,0,0,0,0,0,0,0,0,0
7,Alabama,Butler,0.5289,0.4621,0.0046,0.0044,4127,3606,36,9,19,3,3,0,0,0,0,0,0,0,0,0,0
8,Alabama,Calhoun,0.5733,0.4056,0.0124,0.0088,22306,15781,481,153,149,18,8,13,0,0,0,0,0,0,0,0,0
9,Alabama,Chambers,0.5101,0.4746,0.008,0.0073,6037,5616,95,35,38,5,3,5,0,0,0,0,0,0,0,0,0
10,Alabama,Cherokee,0.531,0.447,0.0098,0.0121,4154,3497,77,58,27,3,2,5,0,0,0,0,0,0,0,0,0
11,Alabama,Chilton,0.667,0.3184,0.0061,0.0085,10066,4806,92,70,53,1,3,1,0,0,0,0,0,0,0,0,0
12,Alabama,Choctaw,0.4882,0.5027,0.0045,0.0046,3600,3707,33,17,8,3,4,2,0,0,0,0,0,0,0,0,0
13,Alabama,Clarke,0.5569,0.4352,0.0031,0.0048,5988,4679,33,28,16,4,2,2,0,0,0,0,0,0,0,0,0
14,Alabama,Clay,0.6322,0.3476,0.0088,0.0114,3719,2045,52,30,32,4,0,1,0,0,0,0,0,0,0,0,0
15,Alabama,Cleburne,0.6546,0.3268,0.0077,0.011,3333,1664,39,32,21,0,3,0,0,0,0,0,0,0,0,0,0
16,Alabama,Coffee,0.6439,0.3382,0.01,0.0078,9938,5220,155,61,40,17,2,1,0,0,0,0,0,0,0,0,0
17,Alabama,Colbert,0.4885,0.4896,0.0097,0.0122,10518,10543,208,201,38,9,11,4,0,0,0,0,0,0,0,0,0
18,Alabama,Conecuh,0.4862,0.5014,0.0063,0.0061,2699,2783,35,21,6,2,2,3,0,0,0,0,0,0,0,0,0
19,Alabama,Coosa,0.5216,0.4607,0.0074,0.0103,2382,2104,34,13,23,6,1,4,0,0,0,0,0,0,0,0,0
20,Alabama,Covington,0.6583,0.3262,0.009,0.0065,8961,4440,123,42,32,9,3,3,0,0,0,0,0,0,0,0,0
21,Alabama,Crenshaw,0.5825,0.4033,0.0083,0.0058,2793,1934,40,16,9,2,1,0,0,0,0,0,0,0,0,0,0
22,Alabama,Cullman,0.6488,0.3305,0.0096,0.0111,19157,9758,282,216,59,31,17,5,0,0,0,0,0,0,0,0,0
23,Alabama,Dale,0.6702,0.3104,0.0119,0.0075,10593,4906,188,56,27,26,6,4,0,0,0,0,0,0,0,0,0
24,Alabama,Dallas,0.3986,0.594,0.0034,0.004,7360,10967,63,19,38,10,3,4,0,0,0,0,0,0,0,0,0
