"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-446 Aurora" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2486 
"01-446 Aurora" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,874 
"01-446 Aurora" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"01-446 Aurora" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,295 
"01-446 Aurora" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"01-446 Aurora" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,75 
"01-446 Aurora" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,23 
"01-446 Aurora" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,434 
"01-446 Aurora" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,29 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,502 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,199 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,65 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,8 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,113 
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1151 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,328 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,120 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,21 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,157 
"01-465 Fairbanks No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1450 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,502 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,205 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,218 
"01-470 Fairbanks No. 3" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,774 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,277 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,86 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,16 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,149 
"01-475 Fairbanks No. 4" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2091 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,713 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,10 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,228 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,57 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,14 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,365 
"01-480 Fairbanks No. 5" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,31 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1391 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,358 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,119 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
