State,VEP_Total_Ballots_Counted,VEP_Highest_Office,VAP_Highest_Office,Total_Ballots_Counted,Highest_Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,55.30%,54.20%,50.00%,107390107,105375486,194331436,210623408,7.70%,1377013,2339388,536039,3082746,2937000
Alabama,,51.60%,50.10%,,1672551,3241682,3334576,1.50%,26225,40178,5484,51798,
Alaska,68.70%,68.10%,65.00%,287825,285560,419111,440296,3.40%,4173,4779,525,7088,
Arizona,46.40%,45.60%,40.20%,1559520,1532016,3357701,3816498,10.30%,26510,59810,3474,59889,
Arkansas,,47.90%,46.00%,,921781,1925961,2001774,2.30%,11915,28409,8659,34779,
California,56.60%,55.70%,44.10%,11142843,10965849,19685258,24867252,18.80%,163001,0,117647,280648,
Colorado,,57.50%,53.70%,,1741368,3026316,3246521,6.70%,16833,0,5500,22333,
Connecticut,62.50%,61.90%,56.60%,1474103,1459525,2357687,2575243,6.60%,18355,47636,1868,44041,
Delaware,,59.00%,54.90%,,327529,554863,594256,3.90%,6921,20052,579,17526,
District of Columbia,,48.30%,43.90%,,201355,416696,458301,10.20%,7456,0,0,7456,
Florida,57.50%,55.90%,47.90%,6138765,5963110,10667193,12475387,10.40%,71319,296139,5982,225371,
Georgia,47.60%,45.80%,42.40%,2684951,2583208,5639668,6087332,5.90%,44232,321407,21556,226492,
Hawaii,44.60%,44.20%,39.90%,371113,367951,832642,923737,8.10%,5053,0,0,5053,
Idaho,58.90%,57.20%,53.50%,516647,501615,877406,935443,3.80%,5535,35103,1409,24496,
Illinois,58.50%,56.20%,51.40%,4932192,4742123,8432600,9208908,8.70%,45281,0,0,45281,
Indiana,50.80%,49.30%,48.30%,2246003,2182295,4424909,4527523,2.30%,20125,0,0,20125,
Iowa,,63.20%,59.60%,,1315563,2082950,2199529,2.40%,7955,21147,2763,21292,
Kansas,56.70%,55.60%,54.00%,1092716,1072216,1927950,1983933,3.90%,8344,0,3829,12173,
Kentucky,53.10%,52.20%,50.40%,1568058,1544107,2955628,3059582,1.50%,14919,19620,4614,29343,
Louisiana,56.70%,56.40%,54.20%,1776133,1765656,3130267,3260060,1.60%,35207,35854,22860,75994,
Maine,,67.20%,66.40%,,651817,969292,979314,1.50%,0,0,0,0,
Maryland,55.80%,55.50%,51.00%,2036455,2025480,3649631,3972224,6.40%,23538,81523,13666,77966,
Massachusetts,60.60%,59.90%,55.40%,2736006,2704984,4517052,4870470,8.00%,0,0,0,0,
Michigan,60.50%,59.90%,57.30%,4279299,4232501,7070702,7370524,3.30%,47718,0,0,47718,
Minnesota,70.10%,69.50%,66.40%,2458303,2438657,3506432,3662005,3.70%,6238,115906,3072,67263,
Mississippi,,49.10%,47.80%,,994184,2024650,2076861,1.00%,20241,15118,1596,29396,
Missouri,,58.20%,56.20%,,2359892,4052255,4190073,1.80%,27382,53299,12563,66595,
Montana,62.60%,61.60%,60.60%,417916,410986,667525,676065,0.90%,3105,0,0,3105,
Nebraska,57.80%,56.90%,55.00%,707223,696983,1224178,1266496,3.40%,3895,21483,476,15113,
Nevada,45.60%,45.20%,40.20%,613360,608970,1346116,1523209,11.80%,10063,12189,4056,20214,
New Hampshire,65.00%,63.90%,60.70%,578656,569081,890622,934176,2.70%,2257,0,0,2257,
New Jersey,58.80%,56.90%,50.10%,3293378,3187226,5601788,6356954,11.00%,29784,130610,11709,106798,
New Mexico,49.90%,48.50%,45.40%,615607,598605,1234088,1318129,6.40%,5342,10461,1670,12243,
New York,56.20%,55.10%,47.50%,6960215,6821999,12380208,14344348,12.70%,70198,0,57858,128056,
North Carolina,52.50%,50.70%,47.50%,3015964,2911262,5744241,6143214,4.60%,31532,105949,3352,87859,
North Dakota,61.10%,60.30%,59.70%,292249,288256,477968,482078,1.20%,1076,0,0,1076,
Ohio,57.80%,56.70%,55.40%,4795989,4705457,8295592,8487355,1.80%,45833,0,0,45833,
Oklahoma,,49.90%,48.00%,,1234229,2475220,2568304,2.90%,23181,30969,1825,40491,
Oregon,65.90%,64.90%,59.10%,1559215,1533968,2364402,2595354,6.40%,10580,0,0,10580,
Pennsylvania,,54.10%,52.30%,,4912185,9086897,9375146,2.40%,36847,0,0,36847,
Rhode Island,54.70%,54.20%,50.70%,412074,408783,753877,804417,6.90%,3286,20922,331,14078,
South Carolina,48.70%,47.00%,45.70%,1433533,1382717,2944326,3025380,2.20%,21778,44632,4378,48472,
South Dakota,58.70%,57.70%,56.90%,322159,316269,548498,554875,1.20%,2616,0,0,2616,
Tennessee,50.50%,49.90%,48.10%,2100241,2076181,4162996,4316391,2.20%,22166,40682,8093,50600,
Texas,49.20%,49.20%,42.40%,6407637,6407037,13033081,15138468,11.40%,166719,441848,111719,499362,
Utah,54.80%,53.80%,50.30%,784582,770754,1431668,1534950,6.10%,5632,0,0,5632,
Vermont,64.70%,64.10%,63.10%,297146,294308,459174,463503,2.00%,0,0,0,0,
Virginia,55.00%,54.00%,50.90%,2789808,2739447,5069265,5389008,5.60%,30168,33955,5148,52294,
Washington,61.40%,60.70%,56.20%,2517028,2487433,4098044,4419907,6.90%,14915,154466,160,92308,
West Virginia,,46.60%,46.10%,,648124,1390365,1405021,0.60%,3856,6216,1112,8076,
Wisconsin,,67.60%,64.50%,,2598607,3842044,4016401,2.40%,20612,53242,9923,57156,
Wyoming,61.40%,59.20%,58.20%,221685,213726,361078,366639,1.50%,1680,4115,514,4252,
