State,VEP_Total_Ballots_Counted,VEP_Highest_Office,VAP_Highest_Office,Total_Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,60.70%,60.10%,55.40%,123535883,122294978,203483455,220336019,8.20%,1490169,2387283,474632,3158443,3862836
Alabama,57.40%,57.20%,55.20%,1890317,1883415,3292608,3427542,1.90%,26521,36795,7745,52664,
Alaska,69.60%,69.10%,65.20%,314502,312598,452124,476378,4.00%,4515,5547,951,8240,
Arizona,54.80%,54.10%,47.00%,2038069,2012585,3717055,4215706,11.50%,31631,69343,5671,71974,
Arkansas,54.40%,53.60%,51.00%,1070573,1054945,1969208,2072986,2.80%,13477,29128,14844,42885,
California,59.60%,58.80%,47.10%,12589367,12421852,21132533,26246548,18.80%,166053,0,110261,276314,
Colorado,67.30%,66.70%,61.20%,2148036,2129630,3192647,3443164,7.50%,19756,0,7383,27139,
Connecticut,66.20%,65.00%,59.70%,1607808,1578769,2429634,2652587,7.30%,20018,0,2552,22570,
Delaware,64.50%,64.20%,59.40%,377407,375190,584817,635370,4.70%,6973,18725,539,16875,
District of Columbia,54.90%,54.30%,48.90%,230105,227586,419142,458758,10.00%,0,0,0,0,
Florida,64.70%,64.40%,56.10%,7640319,7609810,11811921,13643828,11.20%,84733,281170,4888,230206,
Georgia,56.40%,56.20%,50.00%,3317336,3301875,5878186,6499325,6.80%,48625,419350,23344,281644,
Hawaii,48.50%,48.20%,44.10%,431662,429013,889540,982882,7.90%,5946,0,0,5946,
Idaho,64.80%,63.20%,58.70%,612786,598376,946160,1016255,4.10%,6312,44580,2370,30972,
Illinois,62.40%,61.50%,55.70%,5350493,5274322,8576696,9391420,9.00%,44379,0,0,44379,
Indiana,55.80%,54.80%,53.00%,2512142,2468002,4504260,4660157,2.70%,23760,0,0,23760,
Iowa,70.60%,69.90%,67.40%,1521966,1506908,2156389,2239979,2.60%,8611,22832,3317,23344,
Kansas,62.90%,61.60%,58.30%,1213108,1187756,1928764,2032763,4.30%,9152,14309,4525,20832,
Kentucky,59.40%,58.70%,56.90%,1816867,1795860,3057741,3157464,1.70%,17763,33286,8006,42412,
Louisiana,61.50%,61.10%,58.50%,1956590,1943106,3182762,3379937,1.80%,36745,38470,24387,80367,
Maine,74.90%,73.80%,72.60%,751519,740752,1003792,1022043,1.60%,0,0,0,0,
Maryland,63.10%,62.90%,57.20%,2395791,2386705,3797264,4179376,7.20%,23727,76676,14351,76416,
Massachusetts,64.60%,64.20%,58.70%,2927455,2912388,4533859,4935787,8.40%,10365,0,0,10365,
Michigan,67.10%,66.60%,63.90%,4875692,4839252,7263024,7508568,3.40%,48591,0,0,48591,
Minnesota,78.80%,78.40%,73.90%,2842912,2828387,3609185,3819020,3.90%,8613,114226,3872,69598,
Mississippi,,55.70%,54.20%,,1152365,2068766,2133681,1.20%,20429,21324,1979,33070,
Missouri,66.10%,65.30%,62.90%,2764635,2731364,4180960,4339414,1.90%,30775,53832,17400,75091,
Montana,65.20%,64.40%,63.40%,456096,450445,699114,711858,1.00%,3800,0,0,3800,
Nebraska,64.10%,62.90%,59.80%,792906,778186,1236522,1305430,4.00%,4042,17994,805,13844,
Nevada,55.40%,55.30%,47.30%,831563,829587,1501437,1776962,13.20%,10971,12521,3610,20842,
New Hampshire,71.50%,70.90%,68.40%,683672,677738,956422,984422,3.20%,2441,0,0,2441,
New Jersey,64.20%,63.80%,55.20%,3638153,3611691,5663201,6513394,11.70%,28107,143315,14180,113945,
New Mexico,60.40%,59.00%,53.90%,775301,756304,1282767,1411419,7.40%,6341,17725,2676,17880,
New York,58.50%,58.00%,50.20%,7448266,7391249,12738056,14598898,12.60%,64596,0,54524,119120,
North Carolina,58.70%,57.80%,53.90%,3552449,3501007,6055771,6505150,5.30%,34917,111537,2882,93568,
