County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Apache ,45,45,"15,141","8,381",292
Cochise ,64,64,"17,944","27,590",774
Coconino ,85,85,"27,064","19,449",597
Gila ,39,39,"7,566","13,425",327
Graham ,18,18,"3,487","8,375",139
Greenlee ,8,8,"1,165","1,711",36
La Paz ,12,12,"1,794","3,302",97
Maricopa ,"1,142","1,142","542,206","675,027","13,907"
Mohave ,73,73,"21,286","42,729","1,048"
Navajo ,70,70,"14,953","19,199",400
Pima ,417,417,"191,465","168,670","4,244"
Pinal ,88,88,"42,905","57,714","1,173"
Santa Cruz ,24,24,"8,680","4,517",101
Yavapai ,112,112,"34,731","58,043","1,386"
Yuma ,42,42,"17,679","23,658",440
