Androscoggin ,26,26,"30,635","22,597","1,144"
Aroostook ,71,71,"19,303","15,862",738
Cumberland ,69,69,"103,637","55,818","2,500"
Franklin ,25,25,"10,582","6,986",457
Hancock ,44,44,"18,863","12,667",550
Kennebec ,33,33,"37,099","27,456","1,201"
Knox ,18,18,"13,728","8,816",420
Lincoln ,19,19,"11,884","9,287",394
Oxford ,39,39,"17,936","12,856",817
Penobscot ,75,75,"42,975","37,523","1,594"
Piscataquis ,21,21,"4,430","4,785",206
Sagadahoc ,10,10,"12,207","8,771",425
Somerset ,34,34,"13,343","11,864",522
Waldo ,28,28,"11,820","10,375",424
Washington ,53,53,"8,241","8,070",326
York ,48,48,"64,798","42,459","1,919"
