County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Beaverhead ,16,16,"1,611","2,983",136
Big Horn ,20,20,"3,490","1,622",67
Blaine ,10,10,"1,711","1,138",83
Broadwater ,5,5,854,"1,853",71
Carbon ,16,16,"2,431","3,093",192
Carter ,4,4,111,573,31
Cascade ,38,38,"17,486","16,675",855
Chouteau ,12,12,"1,118","1,625",105
Custer ,14,14,"2,262","3,040",136
Daniels ,5,5,343,692,36
Dawson ,12,12,"1,587","2,626",200
Deer Lodge ,18,18,"3,341","1,481",169
Fallon ,6,6,318,"1,082",50
Fergus ,16,16,"1,921","4,100",190
Flathead ,42,42,"15,976","25,361","1,971"
Gallatin ,46,46,"23,984","22,375","1,350"
Garfield ,7,7,109,595,19
Glacier ,16,16,"3,361","1,443",95
Golden Valley ,2,2,122,342,23
Granite ,4,4,601,"1,013",101
Hill ,18,18,"3,563","2,763",237
Jefferson ,14,14,"2,574","3,525",220
Judith Basin ,4,4,396,799,38
Lake ,22,22,"6,693","6,463",638
Lewis & Clark ,56,56,"16,939","14,794",788
Liberty ,4,4,367,594,40
Lincoln ,14,14,"3,018","5,699",494
Madison ,8,8,"1,596","2,803",137
McCone ,3,3,321,726,44
Meagher ,1,1,298,624,41
Mineral ,6,6,844,"1,051",96
Missoula ,101,101,"35,701","20,266","1,738"
Musselshell ,6,6,615,"1,552",87
Park ,15,15,"4,140","4,349",342
Petroleum ,1,1,68,227,5
Phillips ,13,13,638,"1,423",62
Pondera ,8,8,"1,224","1,583",72
Powder River ,8,8,207,797,23
Powell ,12,12,"1,021","1,679",109
Prairie ,4,4,211,503,21
Ravalli ,22,22,"8,332","12,922",676
Richland ,15,15,"1,196","3,158",129
Roosevelt ,13,13,"2,527","1,455",113
Rosebud ,12,12,"1,898","1,739",122
Sanders ,10,10,"1,964","3,556",315
Sheridan ,6,6,953,987,66
Silver Bow ,44,44,"11,651","4,806",467
Stillwater ,8,8,"1,512","2,989",164
Sweet Grass ,5,5,552,"1,433",46
Teton ,5,5,"1,291","1,873",104
Toole ,7,7,736,"1,321",67
Treasure ,3,3,154,310,16
Valley ,11,11,"1,616","2,099",143
Wheatland ,5,5,286,632,35
Wibaux ,1,1,146,379,36
Yellowstone ,69,69,"31,740","36,225","1,878"
