County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Carson City ,26,26,"11,622","11,419",638
Churchill ,19,19,"3,494","6,831",279
Clark ,"1,150","1,150","379,204","256,401","13,299"
Douglas ,41,41,"10,671","14,645",584
Elko ,41,41,"4,537","10,958",509
Esmeralda ,5,5,104,303,38
Eureka ,4,4,144,564,37
Humboldt ,15,15,"1,909","3,584",169
Lander ,9,9,574,"1,462",59
Lincoln ,5,5,518,"1,498",91
Lyon ,40,40,"8,405","12,154",544
Mineral ,12,12,"1,082","1,131",94
Nye ,33,33,"7,223","9,535",728
Pershing ,6,6,673,"1,075",88
Storey ,15,15,"1,099","1,245",69
Washoe ,584,584,"99,395","76,743","3,856"
White Pine ,10,10,"1,230","2,440",172
