County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Adair ,18,18,"2,049","4,636",0
Alfalfa ,11,11,411,"2,023",0
Atoka ,15,15,"1,370","3,509",0
Beaver ,9,9,265,"2,197",0
Beckham ,13,13,"1,625","5,769",0
Blaine ,11,11,"1,011","3,100",0
Bryan ,29,29,"4,423","9,295",0
Caddo ,25,25,"3,395","6,401",0
Canadian ,53,53,"11,422","36,411",0
Carter ,28,28,"5,603","13,241",0
Cherokee ,26,26,"7,193","9,182",0
Choctaw ,18,18,"1,859","3,729",0
Cimarron ,7,7,152,"1,119",0
Cleveland ,91,91,"39,673","64,730",0
Coal ,12,12,570,"1,609",0
Comanche ,43,43,"14,120","20,127",0
Cotton ,12,12,690,"1,793",0
Craig ,17,17,"2,072","3,858",0
Creek ,43,43,"8,318","20,181",0
Custer ,13,13,"2,660","7,842",0
Delaware ,22,22,"5,084","10,274",0
Dewey ,11,11,346,"1,857",0
Ellis ,10,10,282,"1,627",0
Garfield ,33,33,"5,545","17,066",0
Garvin ,24,24,"3,028","7,708",0
Grady ,42,42,"5,516","15,187",0
Grant ,10,10,514,"1,836",0
Greer ,16,16,566,"1,548",0
Harmon ,8,8,333,757,0
Harper ,9,9,221,"1,342",0
Haskell ,17,17,"1,474","3,206",0
Hughes ,16,16,"1,705","3,132",0
Jackson ,19,19,"2,263","6,716",0
Jefferson ,11,11,805,"1,649",0
Johnston ,13,13,"1,246","2,707",0
Kay ,34,34,"5,462","13,229",0
Kingfisher ,17,17,"1,009","5,372",0
Kiowa ,14,14,"1,226","2,536",0
Latimer ,13,13,"1,313","2,857",0
LeFlore ,39,39,"5,136","11,603",0
Lincoln ,23,23,"3,503","10,468",0
Logan ,23,23,"5,716","12,555",0
Love ,13,13,"1,257","2,589",0
Major ,14,14,515,"2,955",0
Marshall ,12,12,"1,642","3,729",0
Mayes ,26,26,"5,749","10,231",0
McClain ,26,26,"3,550","11,184",0
McCurtain ,32,32,"2,792","7,744",0
McIntosh ,17,17,"3,318","4,903",0
Murray ,12,12,"1,592","3,746",0
Muskogee ,33,33,"11,286","15,276",0
Noble ,17,17,"1,174","3,881",0
Nowata ,12,12,"1,411","3,029",0
Okfuskee ,16,16,"1,478","2,642",0
Oklahoma ,305,305,"116,133","163,099",0
Okmulgee ,34,34,"6,187","8,724",0
Osage ,31,31,"7,493","12,150",0
Ottawa ,20,20,"4,266","6,904",0
Pawnee ,12,12,"2,063","4,533",0
Payne ,39,39,"10,601","18,435",0
Pittsburg ,49,49,"5,454","11,739",0
Pontotoc ,26,26,"4,511","9,749",0
Pottawatomie ,31,31,"7,906","17,728",0
Pushmataha ,17,17,"1,265","3,208",0
Roger Mills ,10,10,286,"1,502",0
Rogers ,34,34,"10,770","27,732",0
Seminole ,16,16,"2,977","5,599",0
Sequoyah ,33,33,"4,454","9,465",0
Stephens ,29,29,"4,538","14,392",0
Texas ,16,16,923,"5,332",0
Tillman ,10,10,"1,042","2,195",0
Tulsa ,273,273,"96,106","158,322",0
Wagoner ,38,38,"8,805","21,426",0
Washington ,24,24,"6,308","16,457",0
Washita ,13,13,"1,050","3,716",0
Woods ,8,8,870,"3,043",0
Woodward ,15,15,"1,348","6,402",0
