County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Anderson ,25,25,"4,624","11,855",115
Andrews ,5,5,790,"3,815",18
Angelina ,47,47,"9,377","19,569",189
Aransas ,7,7,"3,005","6,691",79
Archer ,15,15,739,"3,591",26
Armstrong ,8,8,128,856,6
Atascosa ,24,24,"4,400","5,546",47
Austin ,19,19,"2,819","8,777",72
Bailey ,5,5,680,"1,618",14
Bandera ,11,11,"2,248","6,934",83
Bastrop ,22,22,"11,678","13,797",318
Baylor ,5,5,366,"1,262",15
Bee ,18,18,"3,645","4,467",39
Bell ,50,50,"40,185","49,066",537
Bexar ,623,623,"275,023","245,932","3,598"
Blanco ,9,9,"1,466","3,417",33
Borden ,8,8,40,316,5
Bosque ,17,17,"1,796","5,760",87
Bowie ,37,37,"10,801","24,136",173
Brazoria ,72,72,"36,461","67,444",726
Brazos ,83,83,"20,459","37,403",596
Brewster ,8,8,"1,819","1,781",48
Briscoe ,6,6,205,616,7
Brooks ,9,9,"1,747",556,6
Brown ,19,19,"2,819","12,049",121
Burleson ,16,16,"2,053","4,546",59
Burnet ,25,25,"4,596","12,034",190
Caldwell ,27,27,"5,385","6,084",106
Calhoun ,26,26,"2,727","4,106",34
Callahan ,8,8,"1,063","4,589",59
Cameron ,99,99,"48,401","26,641",457
Camp ,5,5,"1,733","2,794",35
Carson ,10,10,406,"2,547",21
Cass ,21,21,"3,489","8,276",72
Castro ,10,10,719,"1,561",8
Chambers ,14,14,"3,185","9,966",100
Cherokee ,29,29,"4,605","11,693",84
Childress ,5,5,497,"1,782",17
Clay ,17,17,"1,085","4,213",34
Cochran ,6,6,284,758,14
Coke ,5,5,297,"1,252",15
Coleman ,6,6,643,"3,011",43
Collin ,163,163,"108,208","184,116","2,161"
Collingsworth ,8,8,292,"1,052",20
Colorado ,13,13,"2,503","5,790",38
Comal ,24,24,"12,365","35,203",392
Comanche ,17,17,"1,339","3,807",55
Concho ,9,9,257,807,11
Cooke ,26,26,"3,051","11,871",102
Coryell ,21,21,"6,611","11,537",132
Cottle ,6,6,187,509,9
Crane ,5,5,319,"1,119",16
Crockett ,5,5,512,"1,026",7
Crosby ,5,5,684,"1,221",9
Culberson ,6,6,510,267,8
Dallam ,10,10,302,"1,267",15
Dallas ,709,709,"424,468","309,477","4,351"
Dawson ,12,12,"1,135","2,894",32
De Witt ,12,12,"1,715","4,888",22
Deaf Smith ,5,5,"1,246","3,456",28
Delta ,9,9,589,"1,580",18
Denton ,123,123,"90,830","149,592","1,693"
Dickens ,7,7,234,730,8
Dimmit ,8,8,"2,692",874,17
Donley ,7,7,291,"1,370",25
Duval ,12,12,"3,298","1,076",35
Eastland ,10,10,"1,271","5,163",68
Ector ,36,36,"9,118","26,190",240
Edwards ,6,6,346,673,12
El Paso ,171,171,"121,589","61,598","1,149"
Ellis ,46,46,"15,315","38,046",345
Erath ,21,21,"3,126","10,757",103
Falls ,14,14,"1,958","2,975",36
Fannin ,20,20,"3,464","8,090",101
Fayette ,27,27,"3,009","7,572",82
