County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Addison ,23,23,"13,232","5,652",278
Bennington ,16,16,"12,523","6,116",364
Caledonia ,17,17,"8,899","5,470",281
Chittenden ,24,24,"44,347","19,850",825
Essex ,13,13,"1,731","1,218",129
Franklin ,15,15,"13,180","7,853",350
Grand Isle ,5,5,"2,694","1,490",72
Lamoille ,10,10,"8,914","3,515",185
Orange ,17,17,"9,777","5,043",266
Orleans ,19,19,"7,992","4,478",261
Rutland ,31,31,"19,355","11,584",561
Washington ,22,22,"22,304","9,120",620
Windham ,24,24,"17,580","5,997",376
Windsor ,24,24,"21,424","9,072",498
