County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Albany ,22,22,"8,618","7,981",413
Big Horn ,13,13,"1,108","4,043",117
Campbell ,35,35,"2,986","13,001",238
Carbon ,19,19,"2,336","4,331",149
Converse ,19,19,"1,380","4,924",121
Crook ,17,17,612,"2,967",82
Fremont ,32,32,"6,016","11,082",383
Goshen ,24,24,"1,832","3,942",108
Hot Springs ,4,4,618,"1,834",70
Johnson ,17,17,908,"3,334",84
Laramie ,60,60,"16,070","24,549",808
Lincoln ,18,18,"1,823","6,485",217
Natrona ,46,46,"8,144","17,573",547
Niobrara ,6,6,244,"1,017",27
Park ,29,29,"3,757","10,838",305
Platte ,13,13,"1,407","2,993",126
Sheridan ,29,29,"4,450","10,169",275
Sublette ,9,9,936,"3,316",76
Sweetwater ,36,36,"5,762","10,360",440
Teton ,18,18,"7,472","4,567",216
Uinta ,11,11,"2,317","5,759",238
Washakie ,5,5,"1,042","2,956",62
Weston ,8,8,658,"2,618",92
