YEAR,FIPS,STATE_FIPS,STATE_ABBR,COUNTY_NAME,OFFICE,LEVEL,VOTES_DEM,VOTES_REP,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,PERCENT_DEM,PERCENT_REP,PERCENT_NADER,PERCENT_OTHER
2000,01001,01,AL,Autauga,president,federal,4942,11993,160,43,51,9,5,5,0,0,0,0,0,0,0,0,0,28.7,69.69999999999999,0.8999999999999999,0.7000000000000001
2000,01003,01,AL,Baldwin,president,federal,13997,40872,1033,287,226,23,28,14,0,0,0,0,0,0,0,0,0,24.8,72.39999999999999,1.7999999999999998,1.0
2000,01005,01,AL,Barbour,president,federal,5188,5096,46,27,27,6,3,2,0,0,0,0,0,0,0,0,0,49.0,49.9,0.4,0.6
2000,01007,01,AL,Bibb,president,federal,2710,4273,52,36,20,9,0,1,0,0,0,0,0,0,0,0,0,38.2,60.199999999999996,0.7000000000000001,0.8999999999999999
2000,01009,01,AL,Blount,president,federal,4977,12667,154,104,51,10,5,5,0,0,0,0,0,0,0,0,0,27.700000000000003,70.5,0.8999999999999999,1.0
2000,01011,01,AL,Bullock,president,federal,3395,1433,24,8,34,5,1,4,0,0,0,0,0,0,0,0,0,69.19999999999999,29.2,0.5,1.0999999999999999
2000,01013,01,AL,Butler,president,federal,3606,4127,36,9,19,3,3,0,0,0,0,0,0,0,0,0,0,46.2,52.900000000000006,0.5,0.4
2000,01015,01,AL,Calhoun,president,federal,15781,22306,481,153,149,18,8,13,0,0,0,0,0,0,0,0,0,40.6,57.3,1.2,0.8999999999999999
2000,01017,01,AL,Chambers,president,federal,5616,6037,95,35,38,5,3,5,0,0,0,0,0,0,0,0,0,47.5,51.0,0.8,0.7000000000000001
2000,01019,01,AL,Cherokee,president,federal,3497,4154,77,58,27,3,2,5,0,0,0,0,0,0,0,0,0,44.7,53.1,1.0,1.2
2000,01021,01,AL,Chilton,president,federal,4806,10066,92,70,53,1,3,1,0,0,0,0,0,0,0,0,0,31.8,66.7,0.6,0.8999999999999999
2000,01023,01,AL,Choctaw,president,federal,3707,3600,33,17,8,3,4,2,0,0,0,0,0,0,0,0,0,50.3,48.8,0.4,0.5
2000,01025,01,AL,Clarke,president,federal,4679,5988,33,28,16,4,2,2,0,0,0,0,0,0,0,0,0,43.5,55.7,0.3,0.5
2000,01027,01,AL,Clay,president,federal,2045,3719,52,30,32,4,0,1,0,0,0,0,0,0,0,0,0,34.8,63.2,0.8999999999999999,1.0999999999999999
2000,01029,01,AL,Cleburne,president,federal,1664,3333,39,32,21,0,3,0,0,0,0,0,0,0,0,0,0,32.7,65.5,0.8,1.0999999999999999
2000,01031,01,AL,Coffee,president,federal,5220,9938,155,61,40,17,2,1,0,0,0,0,0,0,0,0,0,33.800000000000004,64.4,1.0,0.8
2000,01033,01,AL,Colbert,president,federal,10543,10518,208,201,38,9,11,4,0,0,0,0,0,0,0,0,0,49.0,48.8,1.0,1.2
2000,01035,01,AL,Conecuh,president,federal,2783,2699,35,21,6,2,2,3,0,0,0,0,0,0,0,0,0,50.1,48.6,0.6,0.6
2000,01037,01,AL,Coosa,president,federal,2104,2382,34,13,23,6,1,4,0,0,0,0,0,0,0,0,0,46.1,52.2,0.7000000000000001,1.0
2000,01039,01,AL,Covington,president,federal,4440,8961,123,42,32,9,3,3,0,0,0,0,0,0,0,0,0,32.6,65.8,0.8999999999999999,0.6
2000,01041,01,AL,Crenshaw,president,federal,1934,2793,40,16,9,2,1,0,0,0,0,0,0,0,0,0,0,40.300000000000004,58.3,0.8,0.6
2000,01043,01,AL,Cullman,president,federal,9758,19157,282,216,59,31,17,5,0,0,0,0,0,0,0,0,0,33.1,64.9,1.0,1.0999999999999999
2000,01045,01,AL,Dale,president,federal,4906,10593,188,56,27,26,6,4,0,0,0,0,0,0,0,0,0,31.0,67.0,1.2,0.7000000000000001
2000,01047,01,AL,Dallas,president,federal,10967,7360,63,19,38,10,3,4,0,0,0,0,0,0,0,0,0,59.4,39.900000000000006,0.3,0.4
2000,01049,01,AL,DeKalb,president,federal,7056,12827,175,88,124,9,4,2,0,0,0,0,0,0,0,0,0,34.8,63.2,0.8999999999999999,1.0999999999999999
2000,01051,01,AL,Elmore,president,federal,6652,16777,212,53,87,4,11,8,0,0,0,0,0,0,0,0,0,27.900000000000002,70.5,0.8999999999999999,0.7000000000000001
2000,01053,01,AL,Escambia,president,federal,4523,6975,78,57,13,7,4,3,0,0,0,0,0,0,0,0,0,38.800000000000004,59.8,0.7000000000000001,0.7000000000000001
2000,01055,01,AL,Etowah,president,federal,17433,21087,435,239,117,17,14,6,0,0,0,0,0,0,0,0,0,44.3,53.6,1.0999999999999999,1.0
2000,01057,01,AL,Fayette,president,federal,3064,4582,60,68,21,8,5,0,0,0,0,0,0,0,0,0,0,39.2,58.699999999999996,0.8,1.3
2000,01059,01,AL,Franklin,president,federal,4793,6119,72,85,17,5,7,5,0,0,0,0,0,0,0,0,0,43.2,55.1,0.6,1.0999999999999999
2000,01061,01,AL,Geneva,president,federal,2769,6588,97,46,38,16,3,2,0,0,0,0,0,0,0,0,0,28.999999999999996,68.89999999999999,1.0,1.0999999999999999
2000,01063,01,AL,Greene,president,federal,3504,850,24,3,8,4,1,2,0,0,0,0,0,0,0,0,0,79.7,19.3,0.5,0.4
2000,01065,01,AL,Hale,president,federal,4652,2984,43,25,17,4,1,5,0,0,0,0,0,0,0,0,0,60.199999999999996,38.6,0.6,0.7000000000000001
2000,01067,01,AL,Henry,president,federal,2782,4054,48,18,18,4,4,4,0,0,0,0,0,0,0,0,0,40.1,58.5,0.7000000000000001,0.7000000000000001
2000,01069,01,AL,Houston,president,federal,9412,22150,257,121,88,9,13,7,0,0,0,0,0,0,0,0,0,29.4,69.1,0.8,0.7000000000000001
2000,01071,01,AL,Jackson,president,federal,9066,8475,184,118,48,5,4,6,0,0,0,0,0,0,0,0,0,50.6,47.3,1.0,1.0
2000,01073,01,AL,Jefferson,president,federal,129889,138491,3393,670,987,92,160,81,0,0,0,0,0,0,0,0,0,47.4,50.6,1.2,0.7000000000000001
2000,01075,01,AL,Lamar,president,federal,2653,4470,57,50,6,6,6,1,0,0,0,0,0,0,0,0,0,36.6,61.7,0.8,0.8999999999999999
2000,01077,01,AL,Lauderdale,president,federal,13875,17478,354,296,78,23,23,10,0,0,0,0,0,0,0,0,0,43.2,54.400000000000006,1.0999999999999999,1.3
2000,01079,01,AL,Lawrence,president,federal,6296,5671,63,111,22,11,7,4,0,0,0,0,0,0,0,0,0,51.7,46.5,0.5,1.3
2000,01081,01,AL,Lee,president,federal,14574,22433,895,68,233,17,33,11,0,0,0,0,0,0,0,0,0,38.1,58.599999999999994,2.3,0.8999999999999999
2000,01083,01,AL,Limestone,president,federal,8992,14204,193,137,78,13,11,6,0,0,0,0,0,0,0,0,0,38.1,60.099999999999994,0.8,1.0
2000,01085,01,AL,Lowndes,president,federal,4557,1638,18,11,11,3,1,4,0,0,0,0,0,0,0,0,0,73.0,26.200000000000003,0.3,0.5
2000,01087,01,AL,Macon,president,federal,7665,1091,31,10,20,6,2,6,0,0,0,0,0,0,0,0,0,86.8,12.3,0.4,0.5
2000,01089,01,AL,Madison,president,federal,48199,62151,1885,322,567,65,82,47,0,0,0,0,0,0,0,0,0,42.5,54.800000000000004,1.7000000000000002,1.0
2000,01091,01,AL,Marengo,president,federal,4841,4690,40,19,12,4,0,2,0,0,0,0,0,0,0,0,0,50.4,48.8,0.4,0.4
2000,01093,01,AL,Marion,president,federal,4600,6910,125,77,25,7,5,7,0,0,0,0,0,0,0,0,0,39.1,58.8,1.0999999999999999,1.0
2000,01095,01,AL,Marshall,president,federal,10381,17084,256,157,82,10,10,9,0,0,0,0,0,0,0,0,0,37.1,61.0,0.8999999999999999,1.0
2000,01097,01,AL,Mobile,president,federal,58640,78162,1585,532,727,30,43,26,0,0,0,0,0,0,0,0,0,42.0,55.900000000000006,1.0999999999999999,1.0
2000,01099,01,AL,Monroe,president,federal,3741,5153,25,19,11,0,2,0,0,0,0,0,0,0,0,0,0,41.8,57.599999999999994,0.3,0.4
2000,01101,01,AL,Montgomery,president,federal,40371,38827,677,113,293,10,20,17,0,0,0,0,0,0,0,0,0,50.3,48.3,0.8,0.6
2000,01103,01,AL,Morgan,president,federal,16060,25774,450,214,118,31,28,6,0,0,0,0,0,0,0,0,0,37.6,60.4,1.0999999999999999,0.8999999999999999
2000,01105,01,AL,Perry,president,federal,4020,1732,18,7,7,1,0,2,0,0,0,0,0,0,0,0,0,69.5,29.9,0.3,0.3
2000,01107,01,AL,Pickens,president,federal,4143,4306,39,23,20,4,4,1,0,0,0,0,0,0,0,0,0,48.5,50.4,0.5,0.6
2000,01109,01,AL,Pike,president,federal,4357,6058,75,17,27,4,3,3,0,0,0,0,0,0,0,0,0,41.3,57.49999999999999,0.7000000000000001,0.5
2000,01111,01,AL,Randolph,president,federal,3094,4666,60,48,39,8,0,4,0,0,0,0,0,0,0,0,0,39.1,58.9,0.8,1.3
2000,01113,01,AL,Russell,president,federal,8396,6198,109,31,30,3,4,4,0,0,0,0,0,0,0,0,0,56.8,41.9,0.7000000000000001,0.5
2000,01115,01,AL,St. Clair,president,federal,6485,17117,221,144,87,21,10,5,0,0,0,0,0,0,0,0,0,26.900000000000002,71.1,0.8999999999999999,1.0999999999999999
2000,01117,01,AL,Shelby,president,federal,13183,47651,812,123,281,39,26,13,0,0,0,0,0,0,0,0,0,21.2,76.7,1.3,0.8
2000,01119,01,AL,Sumter,president,federal,4415,1629,20,7,10,5,2,0,0,0,0,0,0,0,0,0,0,72.5,26.8,0.3,0.4
2000,01121,01,AL,Talladega,president,federal,11264,13807,184,107,75,7,5,2,0,0,0,0,0,0,0,0,0,44.3,54.2,0.7000000000000001,0.8
2000,01123,01,AL,Tallapoosa,president,federal,6183,9805,153,44,47,4,6,11,0,0,0,0,0,0,0,0,0,38.0,60.3,0.8999999999999999,0.7000000000000001
2000,01125,01,AL,Tuscaloosa,president,federal,24614,34003,1007,193,251,28,0,18,0,0,0,0,0,0,0,0,0,40.9,56.599999999999994,1.7000000000000002,0.8
2000,01127,01,AL,Walker,president,federal,11621,13486,264,177,70,8,10,5,0,0,0,0,0,0,0,0,0,45.300000000000004,52.6,1.0,1.0999999999999999
2000,01129,01,AL,Washington,president,federal,3386,4117,26,39,22,3,1,2,0,0,0,0,0,0,0,0,0,44.6,54.2,0.3,0.8999999999999999
2000,01131,01,AL,Wilcox,president,federal,3444,1661,6,4,4,2,5,0,0,0,0,0,0,0,0,0,0,67.2,32.4,0.1,0.3
2000,01133,01,AL,Winston,president,federal,2692,6413,88,91,22,5,5,2,0,0,0,0,0,0,0,0,0,28.9,68.8,0.8999999999999999,1.3
2000,04001,04,AZ,Apache,president,federal,13025,5947,245,135,66,0,0,15,0,0,0,0,0,0,0,0,0,67.0,30.599999999999998,1.3,1.0999999999999999
2000,04003,04,AZ,Cochise,president,federal,13360,18180,1113,315,199,3,0,34,0,0,0,0,0,0,0,0,0,40.2,54.7,3.4000000000000004,1.7000000000000002
2000,04005,04,AZ,Coconino,president,federal,20280,17562,2478,244,252,1,0,66,0,0,0,0,0,0,0,0,0,49.6,43.0,6.1,1.4000000000000001
2000,04007,04,AZ,Gila,president,federal,7700,9158,497,227,129,0,0,25,0,0,0,0,0,0,0,0,0,43.4,51.6,2.8000000000000003,2.1
