YEAR,FIPS,STATE_FIPS,STATE_ABBR,COUNTY_NAME,OFFICE,LEVEL,VOTES_DEM,VOTES_REP,VOTES_OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTHER,TOTAL_VOTES
2008,02008,02,AK,"State House District 8, Denali-University",president,federal,4995,4983,342,48.40,48.28,3.31,10320
2008,02037,02,AK,"State House District 37, Bristol Bay-Aleuti",president,federal,1868,2661,136,40.04,57.04,2.92,4665
2008,02012,02,AK,"State House District 12, Richardson-Glenn H",president,federal,1914,5467,208,25.22,72.04,2.74,7589
2008,02013,02,AK,"State House District 13, Greater Palmer",president,federal,2800,8432,294,24.29,73.16,2.55,11526
2008,02014,02,AK,"State House District 14, Greater Wasilla",president,federal,2132,8108,216,20.39,77.54,2.07,10456
2008,02016,02,AK,"State House District 16, Chugiak-South Mat-",president,federal,2636,7774,287,24.64,72.67,2.68,10697
2008,02015,02,AK,"State House District 15, Rural Mat-Su",president,federal,2510,8227,349,22.64,74.21,3.15,11086
2008,02039,02,AK,"State House District 39, Bering Straits",president,federal,2695,2323,166,51.99,44.81,3.20,5184
2008,02040,02,AK,"State House District 40, Arctic",president,federal,2137,2686,177,42.74,53.72,3.54,5000
2008,02002,02,AK,"State House District 2, Sitka-Wrangell-Pete",president,federal,3468,4029,238,44.84,52.09,3.08,7735
2008,02003,02,AK,"State House District 3, Juneau-Downtown-Dou",president,federal,5657,2829,281,64.53,32.27,3.21,8767
2008,02004,02,AK,"State House District 4, Juneau-Mendenhall V",president,federal,4161,4302,273,47.63,49.24,3.13,8736
2008,02006,02,AK,"State House District 6, Interior Villages",president,federal,2351,4234,239,34.45,62.05,3.50,6824
2008,02017,02,AK,"State House District 17, Eagle River",president,federal,2645,6621,182,28.00,70.08,1.93,9448
2008,02031,02,AK,"State House District 31, Huffman-Ocean View",president,federal,3596,6419,205,35.19,62.81,2.01,10220
2008,02025,02,AK,"State House District 25, East Spenard",president,federal,3233,3042,168,50.18,47.21,2.61,6443
2008,02018,02,AK,"State House District 18, Military",president,federal,2046,4252,113,31.91,66.32,1.76,6411
2008,02029,02,AK,"State House District 29, Campbell-Independe",president,federal,2684,4127,151,38.55,59.28,2.17,6962
2008,02030,02,AK,"State House District 30, Lore-Abbott",president,federal,3486,5500,197,37.96,59.89,2.15,9183
2008,02024,02,AK,"State House District 24, Midtown-Taku",president,federal,3380,4127,181,43.96,53.68,2.35,7688
2008,02020,02,AK,"State House District 20, Mountain View-Wond",president,federal,2474,2536,128,48.15,49.36,2.49,5138
2008,02022,02,AK,"State House District 22, University-Airport",president,federal,3337,3109,188,50.30,46.86,2.83,6634
2008,02027,02,AK,"State House District 27, Sand Lake",president,federal,3130,5159,209,36.83,60.71,2.46,8498
2008,02021,02,AK,"State House District 21, Baxter Bog",president,federal,3647,4837,191,42.04,55.76,2.20,8675
2008,02023,02,AK,"State House District 23, Downtown-Rogers Pa",president,federal,4075,2808,199,57.54,39.65,2.81,7082
2008,02028,02,AK,"State House District 28, Bayshore-Klatt",president,federal,3642,5953,197,37.19,60.79,2.01,9792
2008,02032,02,AK,"State House District 32, Chugach State Park",president,federal,5176,6867,264,42.06,55.80,2.15,12307
2008,02019,02,AK,"State House District 19, Muldoon",president,federal,3095,4106,171,41.98,55.70,2.32,7372
2008,02026,02,AK,"State House District 26, Turnagain-Inlet Vi",president,federal,4472,4037,186,51.43,46.43,2.14,8695
2008,02036,02,AK,"State House District 36, Kodiak",president,federal,2264,4201,208,33.93,62.96,3.12,6673
2008,02038,02,AK,"State House District 38, Bethel",president,federal,2549,2056,215,52.88,42.66,4.46,4820
2008,02033,02,AK,"State House District 33, Kenai-Soldotna",president,federal,2089,6571,249,23.45,73.76,2.79,8909
2008,02035,02,AK,"State House District 35, Homer-Seward",president,federal,4254,4959,290,44.76,52.18,3.05,9503
2008,02034,02,AK,"State House District 34, Rural Kenai",president,federal,1920,7358,270,20.11,77.06,2.83,9548
2008,02009,02,AK,"State House District 9, City of Fairbanks",president,federal,2805,4141,197,39.27,57.97,2.76,7143
2008,02010,02,AK,"State House District 10, Fairbanks-Fort Wai",president,federal,2074,3392,149,36.94,60.41,2.65,5615
2008,02011,02,AK,"State House District 11, North Pole",president,federal,1924,7736,206,19.50,78.41,2.09,9866
2008,02007,02,AK,"State House District 7, Farmers Loop-Steese",president,federal,4283,6297,314,39.32,57.80,2.88,10894
2008,02005,02,AK,"State House District 5, Cordova-Southeast I",president,federal,3393,3426,304,47.63,48.10,4.27,7123
2008,02001,02,AK,"State House District 1, Ketchikan",president,federal,2597,4149,224,37.26,59.53,3.21,6970
2008,27077,27,MN,Lake of the Woods County,president,federal,971,1278,64,41.98,55.25,2.77,2313
2008,53073,53,WA,Whatcom County,president,federal,58236,40205,1898,58.04,40.07,1.89,100339
2008,30105,30,MT,Valley County,president,federal,1645,2121,145,42.06,54.23,3.71,3911
2008,30029,30,MT,Flathead County,president,federal,16138,25559,2017,36.92,58.47,4.61,43714
2008,16021,16,ID,Boundary County,president,federal,1484,3078,171,31.35,65.03,3.61,4733
2008,30071,30,MT,Phillips County,president,federal,638,1423,62,30.05,67.03,2.92,2123
2008,38079,38,ND,Rolette County,president,federal,3403,1045,86,75.06,23.05,1.90,4534
2008,30053,30,MT,Lincoln County,president,federal,3025,5704,498,32.78,61.82,5.40,9227
2008,38009,38,ND,Bottineau County,president,federal,1387,2059,70,39.45,58.56,1.99,3516
2008,30035,30,MT,Glacier County,president,federal,3423,1451,96,68.87,29.20,1.93,4970
2008,30041,30,MT,Hill County,president,federal,3596,2787,241,54.29,42.07,3.64,6624
2008,30005,30,MT,Blaine County,president,federal,1702,1139,83,58.21,38.95,2.84,2924
2008,30019,30,MT,Daniels County,president,federal,343,694,36,31.97,64.68,3.36,1073
2008,38067,38,ND,Pembina County,president,federal,1494,1722,91,45.18,52.07,2.75,3307
2008,27069,27,MN,Kittson County,president,federal,1492,1016,60,58.10,39.56,2.34,2568
2008,38095,38,ND,Towner County,president,federal,621,536,40,51.88,44.78,3.34,1197
2008,38019,38,ND,Cavalier County,president,federal,930,1128,72,43.66,52.96,3.38,2130
2008,53047,53,WA,Okanogan County,president,federal,7613,8798,459,45.13,52.15,2.72,16870
2008,53065,53,WA,Stevens County,president,federal,8499,13132,710,38.04,58.78,3.18,22341
2008,53051,53,WA,Pend Oreille County,president,federal,2562,3717,273,39.10,56.73,4.17,6552
2008,53019,53,WA,Ferry County,president,federal,1467,1916,118,41.90,54.73,3.37,3501
2008,30051,30,MT,Liberty County,president,federal,367,594,40,36.66,59.34,4.00,1001
2008,38023,38,ND,Divide County,president,federal,464,630,37,41.03,55.70,3.27,1131
2008,38013,38,ND,Burke County,president,federal,286,640,17,30.33,67.87,1.80,943
2008,30101,30,MT,Toole County,president,federal,737,1317,67,34.75,62.09,3.16,2121
2008,38075,38,ND,Renville County,president,federal,505,799,42,37.52,59.36,3.12,1346
2008,27135,27,MN,Roseau County,president,federal,3097,4438,165,40.22,57.64,2.14,7700
2008,30091,30,MT,Sheridan County,president,federal,953,987,66,47.51,49.20,3.29,2006
2008,16017,16,ID,Bonner County,president,federal,7840,11145,562,40.11,57.02,2.88,19547
2008,38101,38,ND,Ward County,president,federal,10144,15061,416,39.59,58.78,1.62,25621
2008,53055,53,WA,San Juan County,president,federal,7374,2958,199,70.02,28.09,1.89,10531
2008,27071,27,MN,Koochiching County,president,federal,3649,2962,191,53.65,43.55,2.81,6802
2008,53057,53,WA,Skagit County,president,federal,30053,24687,1146,53.78,44.17,2.05,55886
2008,38105,38,ND,Williams County,president,federal,2921,6291,161,31.16,67.12,1.72,9373
2008,38049,38,ND,McHenry County,president,federal,981,1374,61,40.60,56.87,2.52,2416
2008,27137,27,MN,Saint Louis County,president,federal,77351,38742,2721,65.10,32.61,2.29,118814
2008,30085,30,MT,Roosevelt County,president,federal,2564,1473,113,61.78,35.49,2.72,4150
2008,53007,53,WA,Chelan County,president,federal,13781,17605,572,43.12,55.09,1.79,31958
2008,38061,38,ND,Mountrail County,president,federal,1477,1406,55,50.27,47.86,1.87,2938
2008,27089,27,MN,Marshall County,president,federal,2311,2285,143,48.77,48.22,3.02,4739
2008,38069,38,ND,Pierce County,president,federal,792,1301,46,37.03,60.82,2.15,2139
2008,38071,38,ND,Ramsey County,president,federal,2314,2361,87,48.59,49.58,1.83,4762
2008,38099,38,ND,Walsh County,president,federal,2325,2415,142,47.62,49.47,2.91,4882
2008,27007,27,MN,Beltrami County,president,federal,12019,9762,455,54.05,43.90,2.05,22236
2008,30073,30,MT,Pondera County,president,federal,1223,1588,74,42.39,55.04,2.56,2885
2008,53029,53,WA,Island County,president,federal,22058,19426,675,52.32,46.08,1.60,42159
2008,53009,53,WA,Clallam County,president,federal,19470,18199,850,50.55,47.25,2.21,38519
2008,38005,38,ND,Benson County,president,federal,1569,733,32,67.22,31.41,1.37,2334
2008,30015,30,MT,Chouteau County,president,federal,1122,1634,105,39.22,57.11,3.67,2861
2008,53061,53,WA,Snohomish County,president,federal,187294,126722,6317,58.47,39.56,1.97,320333
2008,30089,30,MT,Sanders County,president,federal,1970,3563,316,33.68,60.92,5.40,5849
2008,27031,27,MN,Cook County,president,federal,2019,1240,89,60.30,37.04,2.66,3348
2008,26083,26,MI,Keweenaw County,president,federal,610,756,44,43.26,53.62,3.12,1410
2008,27075,27,MN,Lake County,president,federal,4174,2636,159,59.89,37.82,2.28,6969
2008,38063,38,ND,Nelson County,president,federal,907,800,45,51.77,45.66,2.57,1752
2008,38035,38,ND,Grand Forks County,president,federal,16104,14520,529,51.69,46.61,1.70,31153
2008,27119,27,MN,Polk County,president,federal,7850,7148,336,51.19,46.62,2.19,15334
2008,27113,27,MN,Pennington County,president,federal,3394,3248,180,49.75,47.61,2.64,6822
2008,30083,30,MT,Richland County,president,federal,1203,3184,129,26.64,70.50,2.86,4516
2008,53017,53,WA,Douglas County,president,federal,5848,9098,263,38.45,59.82,1.73,15209
2008,38053,38,ND,McKenzie County,president,federal,933,1740,42,34.36,64.09,1.55,2715
2008,53031,53,WA,Jefferson County,president,federal,13252,6330,409,66.29,31.66,2.05,19991
2008,30099,30,MT,Teton County,president,federal,1294,1874,104,39.55,57.27,3.18,3272
2008,30055,30,MT,McCone County,president,federal,1607,2822,138,35.19,61.79,3.02,4567
2008,16079,16,ID,Shoshone County,president,federal,2521,2953,192,44.49,52.12,3.39,5666
2008,30047,30,MT,Lake County,president,federal,6766,6498,649,48.63,46.70,4.66,13913
2008,53063,53,WA,Spokane County,president,federal,105786,108314,5411,48.19,49.34,2.47,219511
2008,27029,27,MN,Clearwater County,president,federal,1877,2291,93,44.05,53.77,2.18,4261
2008,16055,16,ID,Kootenai County,president,federal,22120,38387,1425,35.72,61.98,2.30,61932
2008,30033,30,MT,Garfield County,president,federal,110,598,19,15.13,82.26,2.61,727
2008,27125,27,MN,Red Lake County,president,federal,1120,983,88,51.12,44.87,4.02,2191
2008,53025,53,WA,Grant County,president,federal,9601,17153,684,34.99,62.52,2.49,27438
2008,53043,53,WA,Lincoln County,president,federal,2032,3803,142,34.00,63.63,2.38,5977
2008,30049,30,MT,Lewis and Clark County,president,federal,17114,14966,793,52.06,45.53,2.41,32873
2008,53035,53,WA,Kitsap County,president,federal,68624,53297,2416,55.19,42.86,1.94,124337
2008,27061,27,MN,Itasca County,president,federal,13460,10309,626,55.18,42.26,2.57,24395
2008,38055,38,ND,McLean County,president,federal,1867,2767,102,39.42,58.42,2.15,4736
2008,38027,38,ND,Eddy County,president,federal,583,548,34,50.04,47.04,2.92,1165
2008,38103,38,ND,Wells County,president,federal,841,1468,68,35.38,61.76,2.86,2377
2008,38083,38,ND,Sheridan County,president,federal,229,555,19,28.52,69.12,2.37,803
2008,38025,38,ND,Dunn County,president,federal,527,1080,37,32.06,65.69,2.25,1644
2008,30027,30,MT,Fergus County,president,federal,1933,4108,191,31.02,65.92,3.06,6232
2008,30021,30,MT,Dawson County,president,federal,1593,2639,200,35.94,59.54,4.51,4432
2008,53033,53,WA,King County,president,federal,648230,259716,14086,70.30,28.17,1.53,922032
2008,30013,30,MT,Cascade County,president,federal,17664,16857,867,49.92,47.63,2.45,35388
2008,38091,38,ND,Steele County,president,federal,614,404,14,59.50,39.15,1.36,1032
2008,38039,38,ND,Griggs County,president,federal,598,682,34,45.51,51.90,2.59,1314
2008,38097,38,ND,Traill County,president,federal,2136,1845,60,52.86,45.66,1.48,4041
2008,53045,53,WA,Mason County,president,federal,15050,12600,656,53.17,44.51,2.32,28306
2008,30063,30,MT,Missoula County,president,federal,36531,20743,1801,61.84,35.11,3.05,59075
2008,30077,30,MT,Powell County,president,federal,1021,1683,110,36.28,59.81,3.91,2814
2008,30069,30,MT,Petroleum County,president,federal,68,227,5,22.67,75.67,1.67,300
