YEAR,FIPS,STATE_FIPS,STATE_ABBR,COUNTY_NAME,OFFICE,LEVEL,VOTES_DEM,VOTES_REP,PERCENT_DEM,PERCENT_REP,TOTAL_VOTES
2016,2013,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2016,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2020,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2050,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2060,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2068,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2070,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2090,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2100,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2105,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2110,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2122,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2130,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2150,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2164,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2170,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2180,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2185,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2188,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2195,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2198,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2220,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2230,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2240,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2261,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2270,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2275,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2282,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,2290,02,AK,Alaska,president,federal,93003,130413,0.4,0.5,246588
2016,1001,01,AL,Autauga County,president,federal,5908,18110,0.2,0.7,24661
2016,1003,01,AL,Baldwin County,president,federal,18409,72780,0.2,0.8,94090
2016,1005,01,AL,Barbour County,president,federal,4848,5431,0.5,0.5,10390
2016,1007,01,AL,Bibb County,president,federal,1874,6733,0.2,0.8,8748
2016,1009,01,AL,Blount County,president,federal,2150,22808,0.1,0.9,25384
2016,1011,01,AL,Bullock County,president,federal,3530,1139,0.8,0.2,4701
2016,1013,01,AL,Butler County,president,federal,3716,4891,0.4,0.6,8685
