B05003I_003E,STATE_FIPS,COUNTY_FIPS,GEOID
261,01,001,01001
1505,01,003,01003
342,01,005,01005
62,01,007,01007
959,01,009,01009
0,01,011,01011
26,01,013,01013
833,01,015,01015
35,01,017,01017
45,01,019,01019
747,01,021,01021
20,01,023,01023
0,01,025,01025
89,01,027,01027
42,01,029,01029
626,01,031,01031
360,01,033,01033
48,01,035,01035
28,01,037,01037
103,01,039,01039
39,01,041,01041
802,01,043,01043
689,01,045,01045
4,01,047,01047
2564,01,049,01049
476,01,051,01051
79,01,053,01053
880,01,055,01055
11,01,057,01057
709,01,059,01059
199,01,061,01061
44,01,063,01063
8,01,065,01065
95,01,067,01067
644,01,069,01069
365,01,071,01071
4708,01,073,01073
15,01,075,01075
526,01,077,01077
170,01,079,01079
850,01,081,01081
1105,01,083,01083
0,01,085,01085
22,01,087,01087
2904,01,089,01089
62,01,091,01091
140,01,093,01093
2754,01,095,01095
1604,01,097,01097
89,01,099,01099
1644,01,101,01101
1942,01,103,01103
0,01,105,01105
40,01,107,01107
40,01,109,01109
233,01,111,01111
508,01,113,01113
452,01,115,01115
2370,01,117,01117
0,01,119,01119
268,01,121,01121
127,01,123,01123
988,01,125,01125
203,01,127,01127
35,01,129,01129
0,01,131,01131
110,01,133,01133
34,02,013,02013
39,02,016,02016
4711,02,020,02020
96,02,050,02050
21,02,060,02060
9,02,068,02068
37,02,070,02070
1146,02,090,02090
3,02,100,02100
9,02,105,02105
435,02,110,02110
395,02,122,02122
110,02,130,02130
185,02,150,02150
20,02,158,02158
3,02,164,02164
831,02,170,02170
48,02,180,02180
56,02,185,02185
35,02,188,02188
57,02,195,02195
53,02,198,02198
84,02,220,02220
2,02,230,02230
66,02,240,02240
126,02,261,02261
6,02,275,02275
6,02,282,02282
38,02,290,02290
848,04,001,04001
7044,04,003,04003
3035,04,005,04005
1538,04,007,04007
1884,04,009,04009
706,04,011,04011
884,04,012,04012
223042,04,013,04013
5051,04,015,04015
2160,04,017,04017
58283,04,019,04019
19588,04,021,04021
6369,04,023,04023
5486,04,025,04025
21024,04,027,04027
75,05,001,05001
213,05,003,05003
135,05,005,05005
7534,05,007,05007
47,05,009,05009
423,05,011,05011
46,05,013,05013
801,05,015,05015
69,05,017,05017
143,05,019,05019
64,05,021,05021
133,05,023,05023
44,05,025,05025
77,05,027,05027
156,05,029,05029
961,05,031,05031
821,05,033,05033
140,05,035,05035
34,05,037,05037
77,05,039,05039
98,05,041,05041
94,05,043,05043
997,05,045,05045
114,05,047,05047
14,05,049,05049
1021,05,051,05051
8,05,053,05053
211,05,055,05055
639,05,057,05057
116,05,059,05059
332,05,061,05061
576,05,063,05063
54,05,065,05065
120,05,067,05067
265,05,069,05069
682,05,071,05071
19,05,073,05073
17,05,075,05075
22,05,077,05077
79,05,079,05079
152,05,081,05081
180,05,083,05083
603,05,085,05085
170,05,087,05087
46,05,089,05089
253,05,091,05091
362,05,093,05093
29,05,095,05095
31,05,097,05097
77,05,099,05099
19,05,101,05101
85,05,103,05103
137,05,105,05105
131,05,107,05107
101,05,109,05109
148,05,111,05111
265,05,113,05113
860,05,115,05115
11,05,117,05117
4473,05,119,05119
91,05,121,05121
72,05,123,05123
1035,05,125,05125
237,05,127,05127
73,05,129,05129
3447,05,131,05131
1213,05,133,05133
26,05,135,05135
69,05,137,05137
254,05,139,05139
76,05,141,05141
7302,05,143,05143
723,05,145,05145
0,05,147,05147
861,05,149,05149
56258,06,001,06001
38,06,003,06003
611,06,005,06005
5598,06,007,06007
660,06,009,06009
2263,06,011,06011
45784,06,013,06013
738,06,015,06015
4019,06,017,06017
89479,06,019,06019
2147,06,021,06021
2423,06,023,06023
23183,06,025,06025
729,06,027,06027
81594,06,029,06029
13604,06,031,06031
2241,06,033,06033
234,06,035,06035
733292,06,037,06037
15668,06,039,06039
6400,06,041,06041
188,06,043,06043
3955,06,045,06045
28080,06,047,06047
250,06,049,06049
504,06,051,06051
43167,06,053,06053
7975,06,055,06055
1515,06,057,06057
174671,06,059,06059
8511,06,061,06061
321,06,063,06063
188721,06,065,06065
57686,06,067,06067
5585,06,069,06069
185194,06,071,06071
169115,06,073,06073
13356,06,075,06075
52887,06,077,06077
9525,06,079,06079
28420,06,081,06081
32202,06,083,06083
80425,06,085,06085
14317,06,087,06087
2998,06,089,06089
12,06,091,06091
875,06,093,06093
18747,06,095,06095
22261,06,097,06097
42129,06,099,06099
5248,06,101,06101
2907,06,103,06103
105,06,105,06105
54921,06,107,06107
790,06,109,06109
58131,06,111,06111
10316,06,113,06113
3939,06,115,06115
34217,08,001,08001
1133,08,003,08003
21778,08,005,08005
450,08,007,08007
63,08,009,08009
224,08,011,08011
7567,08,013,08013
1247,08,014,08014
212,08,015,08015
45,08,017,08017
80,08,019,08019
585,08,021,08021
281,08,023,08023
238,08,025,08025
19,08,027,08027
694,08,029,08029
33886,08,031,08031
26,08,033,08033
4678,08,035,08035
2763,08,037,08037
278,08,039,08039
19704,08,041,08041
558,08,043,08043
3200,08,045,08045
118,08,047,08047
234,08,049,08049
247,08,051,08051
0,08,053,08053
330,08,055,08055
42,08,057,08057
13667,08,059,08059
34,08,061,08061
303,08,063,08063
503,08,065,08065
1091,08,067,08067
6269,08,069,08069
804,08,071,08071
67,08,073,08073
399,08,075,08075
3711,08,077,08077
29,08,079,08079
390,08,081,08081
551,08,083,08083
1606,08,085,08085
1885,08,087,08087
1233,08,089,08089
9,08,091,08091
157,08,093,08093
175,08,095,08095
202,08,097,08097
847,08,099,08099
10708,08,101,08101
122,08,103,08103
827,08,105,08105
238,08,107,08107
377,08,109,08109
7,08,111,08111
90,08,113,08113
24,08,115,08115
742,08,117,08117
72,08,119,08119
82,08,121,08121
14704,08,123,08123
341,08,125,08125
26469,09,001,09001
24717,09,003,09003
1750,09,005,09005
1564,09,007,09007
24057,09,009,09009
4389,09,011,09011
1102,09,013,09013
2240,09,015,09015
1962,10,001,10001
8935,10,003,10003
3837,10,005,10005
7947,11,001,11001
2172,12,001,12001
133,12,003,12003
1485,12,005,12005
118,12,007,12007
7493,12,009,12009
60584,12,011,12011
45,12,013,12013
1502,12,015,12015
955,12,017,12017
2869,12,019,12019
14348,12,021,12021
534,12,023,12023
1751,12,027,12027
20,12,029,12029
11360,12,031,12031
2304,12,033,12033
1204,12,035,12035
29,12,037,12037
728,12,039,12039
178,12,041,12041
355,12,043,12043
24,12,045,12045
239,12,047,12047
2257,12,049,12049
3333,12,051,12051
2875,12,053,12053
2790,12,055,12055
50609,12,057,12057
108,12,059,12059
2780,12,061,12061
350,12,063,12063
47,12,065,12065
120,12,067,12067
7006,12,069,12069
20887,12,071,12071
1767,12,073,12073
479,12,075,12075
83,12,077,12077
187,12,079,12079
10189,12,081,12081
6165,12,083,12083
3448,12,085,12085
173305,12,086,12086
2078,12,087,12087
480,12,089,12089
2608,12,091,12091
1859,12,093,12093
48934,12,095,12095
21646,12,097,12097
39714,12,099,12099
10125,12,101,12101
11974,12,103,12103
21309,12,105,12105
1367,12,107,12107
1987,12,109,12109
8202,12,111,12111
1357,12,113,12113
5222,12,115,12115
11174,12,117,12117
646,12,119,12119
465,12,121,12121
45,12,123,12123
71,12,125,12125
9301,12,127,12127
155,12,129,12129
488,12,131,12131
50,12,133,12133
210,13,001,13001
410,13,003,13003
91,13,005,13005
8,13,007,13007
89,13,009,13009
308,13,011,13011
1631,13,013,13013
1640,13,015,13015
229,13,017,13017
247,13,019,13019
933,13,021,13021
145,13,023,13023
143,13,025,13025
176,13,027,13027
593,13,029,13029
420,13,031,13031
119,13,033,13033
113,13,035,13035
12,13,037,13037
656,13,039,13039
205,13,043,13043
1362,13,045,13045
425,13,047,13047
197,13,049,13049
2602,13,051,13051
252,13,053,13053
347,13,055,13055
4393,13,057,13057
2228,13,059,13059
54,13,061,13061
7157,13,063,13063
118,13,065,13065
17107,13,067,13067
899,13,069,13069
1583,13,071,13071
1469,13,073,13073
210,13,075,13075
1457,13,077,13077
0,13,079,13079
93,13,081,13081
0,13,083,13083
128,13,085,13085
336,13,087,13087
11959,13,089,13089
121,13,091,13091
186,13,093,13093
475,13,095,13095
2506,13,097,13097
0,13,099,13099
144,13,101,13101
496,13,103,13103
189,13,105,13105
195,13,107,13107
216,13,109,13109
94,13,111,13111
1436,13,113,13113
1912,13,115,13115
3687,13,117,13117
232,13,119,13119
13393,13,121,13121
713,13,123,13123
10,13,125,13125
1062,13,127,13127
1726,13,129,13129
675,13,131,13131
214,13,133,13133
32816,13,135,13135
1217,13,137,13137
10580,13,139,13139
0,13,141,13141
149,13,143,13143
101,13,145,13145
182,13,147,13147
14,13,149,13149
2518,13,151,13151
1609,13,153,13153
5,13,155,13155
784,13,157,13157
106,13,159,13159
368,13,161,13161
149,13,163,13163
82,13,165,13165
8,13,167,13167
0,13,169,13169
105,13,171,13171
72,13,173,13173
269,13,175,13175
107,13,177,13177
1350,13,179,13179
0,13,181,13181
246,13,183,13183
995,13,185,13185
150,13,187,13187
136,13,189,13189
0,13,191,13191
36,13,193,13193
337,13,195,13195
192,13,197,13197
65,13,199,13199
0,13,201,13201
255,13,205,13205
156,13,207,13207
70,13,209,13209
94,13,211,13211
963,13,213,13213
2455,13,215,13215
922,13,217,13217
291,13,219,13219
144,13,221,13221
1564,13,223,13223
328,13,225,13225
0,13,227,13227
221,13,229,13229
39,13,231,13231
1092,13,233,13233
131,13,235,13235
0,13,237,13237
0,13,239,13239
250,13,241,13241
5,13,243,13243
1363,13,245,13245
1742,13,247,13247
71,13,249,13249
52,13,251,13251
65,13,253,13253
540,13,255,13255
157,13,257,13257
0,13,259,13259
273,13,261,13261
11,13,263,13263
14,13,265,13265
469,13,267,13267
12,13,269,13269
46,13,271,13271
50,13,273,13273
241,13,275,13275
949,13,277,13277
600,13,279,13279
96,13,281,13281
0,13,283,13283
511,13,285,13285
88,13,287,13287
0,13,289,13289
188,13,291,13291
194,13,293,13293
345,13,295,13295
780,13,297,13297
236,13,299,13299
0,13,301,13301
61,13,303,13303
297,13,305,13305
16,13,307,13307
0,13,309,13309
154,13,311,13311
6933,13,313,13313
21,13,315,13315
107,13,317,13317
58,13,319,13319
102,13,321,13321
4733,15,001,15001
17294,15,003,15003
0,15,005,15005
1440,15,007,15007
3346,15,009,15009
5823,16,001,16001
34,16,003,16003
1277,16,005,16005
41,16,007,16007
72,16,009,16009
1668,16,011,16011
855,16,013,16013
50,16,015,16015
209,16,017,16017
2944,16,019,16019
53,16,021,16021
44,16,023,16023
28,16,025,16025
10167,16,027,16027
69,16,029,16029
1270,16,031,16031
46,16,033,16033
14,16,035,16035
0,16,037,16037
808,16,039,16039
220,16,041,16041
349,16,043,16043
383,16,045,16045
928,16,047,16047
105,16,049,16049
644,16,051,16051
1669,16,053,16053
1158,16,055,16055
190,16,057,16057
38,16,059,16059
33,16,061,16061
317,16,063,16063
525,16,065,16065
1295,16,067,16067
272,16,069,16069
40,16,071,16071
602,16,073,16073
815,16,075,16075
487,16,077,16077
98,16,079,16079
363,16,081,16081
2473,16,083,16083
36,16,085,16085
338,16,087,16087
182,17,001,17001
36,17,003,17003
53,17,005,17005
2226,17,007,17007
0,17,009,17009
568,17,011,17011
0,17,013,17013
79,17,015,17015
555,17,017,17017
1784,17,019,17019
113,17,021,17021
13,17,023,17023
3,17,025,17025
140,17,027,17027
200,17,029,17029
213816,17,031,17031
18,17,033,17033
40,17,035,17035
1972,17,037,17037
98,17,039,17039
213,17,041,17041
23318,17,043,17043
44,17,045,17045
10,17,047,17047
171,17,049,17049
51,17,051,17051
98,17,053,17053
158,17,055,17055
61,17,057,17057
11,17,059,17059
16,17,061,17061
879,17,063,17063
11,17,065,17065
53,17,067,17067
0,17,069,17069
11,17,071,17071
550,17,073,17073
401,17,075,17075
364,17,077,17077
8,17,079,17079
164,17,081,17081
38,17,083,17083
164,17,085,17085
29,17,087,17087
30997,17,089,17089
2141,17,091,17091
3988,17,093,17093
538,17,095,17095
27569,17,097,17097
1935,17,099,17099
36,17,101,17101
303,17,103,17103
276,17,105,17105
175,17,107,17107
